person,current_company,past_company1,past_company2,past_company3,education,linkedin_group1,linkedin_group2,linkedin_group3,hobby1,hobby2,hobby3
Ernie Filak,Toyota,Seat,TigerGraph,,Frankfurt University of Applied Sciences,Security,,,Dog walking,Gardening,Motorcycles
Dalia Living,Opel,Volkswagen,Microsoft,Tesla,Friedrich-Alexander-Universität Erlangen-Nürnberg,AI,Airline,,Running,Gardening,
Eliza Hargrove,Opel,,,,Goethe-Universität Frankfurt am Main,Automotive,,,Relaxing,Scuba Diving,Robotics
Letha Rampadarat,Opel,,,,Universität zu Köln,Graph Databases,,,Football,Golf,Playing music
Cara Moccasin,Opel,Lexus,BMW,Mercedes,Universität der Bundeswehr München,AI,Security,,Stamp Collecting,TV watching,
Leeann Veverka,Tesla,Toyota,Porsche,Mercedes,Munich Business School,TigerGraph,Security,,Dog walking,Electronics,Chess
Hoa Hunting,Porsche,Microsoft,,,Universität Konstanz,Kubernetes,,,Marathon,Robotics,
Leanora Okuda,Seat,Audi,Volkswagen,,Universität zu Köln,Cloud,Automotive,Security,Paragliding,Darts,Marathon
Julissa Runyan,Audi,Porsche,TigerGraph,,Technische Universität Braunschweig,Industry trends,Airline,Future trends,Badminton,,
Glennie Dellapenna,Toyota,Seat,,,Universität Regensburg,Future trends,,,Playing music,,
Norberto Beuchat,Toyota,Mercedes,,,Universität Erfurt,NoSQL,,,Mountain Biking,Parachuting,Snowboarding
Amiee Strazza,TigerGraph,Volkswagen,Skoda,Tesla,Johannes Gutenberg-Universität Mainz,Future trends,Retail,,Hiking,Photography,Aeromodeling
Hermine Mostowy,Volkswagen,Lexus,Porsche,Microsoft,Universität Leipzig,AI,Retail,Big Data,TV watching,Chess,Calligraphy
Florentina Prahl,Volkswagen,Microsoft,,,Johannes Gutenberg-Universität Mainz,TigerGraph,,,Darts,,
Jasmin Christophe,Audi,Microsoft,,,Goethe-Universität Frankfurt am Main,Airline,,,Hiking,Martial Arts,Kayaking
Avery Hind,BMW,,,,Universität der Bundeswehr München,Cloud,TigerGraph,,Hunting,,
Carlo Harbolt,Lexus,Tesla,,,Fachhochschule Dortmund,Cloud,Airline,GSQL,Motorcycles,Painting,Playing music
Jodi Avitia,Microsoft,,,,Leibniz-Fachhochschule,Industry trends,TigerGraph,Future trends,Meditation,,
Joi Misek,Skoda,Lexus,Porsche,BMW,Hochschule Landshut,Big Data,Industry trends,Future trends,Skiing,Electronics,Horse riding
Wai Borah,Toyota,Opel,BMW,,Fachhochschule Aachen,Airline,,,Golf,,
Charlott Town,Skoda,,,,Fachhochschule Aachen,Graph Databases,Industry trends,Automotive,Robotics,,
Deandre Kellerman,Lexus,Skoda,,,Technische Universität Berlin,Automotive,,,Hiking,Robotics,
Laura Zabriskie,Opel,Porsche,Microsoft,Mercedes,Universität Freiburg,Analytics,Future trends,Security,Martial Arts,,
Andre Klaren,BMW,Tesla,,,Beuth Hochschule für Technik Berlin,Graph Databases,Future trends,Automotive,Cooking,Scuba Diving,Rafting
Rubi Edelblute,Lexus,Porsche,,,Universität zu Köln,Industry trends,Future trends,Retail,Dog walking,Geocaching,
Carter Mayfield,Toyota,,,,Friedrich-Alexander-Universität Erlangen-Nürnberg,GSQL,,,Kite Boarding,Electronics,Painting
Darline Quirke,Seat,Microsoft,Mercedes,,Hochschule Fresenius,Kubernetes,Retail,Big Data,Bicycling,Tennis,Car Racing
Sharolyn Beavin,Toyota,Volkswagen,,,Hochschule Macromedia,TigerGraph,,,Darts,TV watching,
Marcy Guitreau,Opel,TigerGraph,Skoda,Tesla,Universität Konstanz,Security,Retail,,Couch potatoing,Photography,Bicycling
Ethan Kristiansen,Volkswagen,TigerGraph,Microsoft,,Universität Konstanz,Graph Databases,Future trends,,Aeromodeling,,
Jae Mcaree,Seat,Opel,Porsche,Audi,Munich Business School,Cloud,,,Mountain Biking,Kayaking,Robotics
Jenelle Schorr,TigerGraph,BMW,,,Universität Stuttgart,Cloud,Industry trends,NoSQL,Badminton,TV watching,
Delana Boulette,Lexus,,,,Heinrich-Heine-Universität Düsseldorf,Cloud,AI,TigerGraph,Dog walking,Scuba Diving,
Ben Heyduck,Audi,,,,Hochschule Fresenius,Analytics,Future trends,,Skiing,Gardening,Dancing
Lakia Riendeau,Tesla,Lexus,BMW,Microsoft,Leibniz-Fachhochschule,Analytics,Airline,NoSQL,Traveling,,
Queen Boczar,Audi,Mercedes,,,FernUniversität in Hagen,Analytics,Airline,,Paragliding,,
Glory Doino,Toyota,Volkswagen,Mercedes,,Universität zu Lübeck,Kubernetes,AI,GSQL,Chilling,,
